Text,Sentiment,Emotion
'Ξέρουν ότι κατά πάσα πιθανότητα η αδερφή τους είναι ο πραγματικός θύτης',NEGATIVE,ANGER
'Κάτσε εδώ τώρα 🖕🖕🖕🖕',NEGATIVE,ANGER
'Άλλο η ψυχολογία και η αντίληψη των θυμάτων και άλλο πως νιώθουμε και σκεφτόμαστε εμείς που έχουμε την ψυχραιμία του θεατή',NEGATIVE,ANGER
'Αρχικά διάβασα δολοφονήθηκε από το αστυνομικό τμήμα και μου φάνηκε φυσιολογικό',NEGATIVE,ANGER
'Εκτός αν τα γουστάρουν κάτι τέτοια τότε πάω πάσο',NEGATIVE,ANGER
'MeToo αλληλέγγυες καλλιτέχνιδες με τον άθρωπο λοιπές λεχρίτισσες να γνωρίσετε έναν άντρα να σας συμπεριφέρετε όπως αυτοί που υποστηρίζετε',NEGATIVE,ANGER
'Φανταστείτε να το έγραφε δεξιός αυτό',NEGATIVE,ANGER
'Αν στη θέση του ήταν κάποιος δημοσιογράφος του ΣΚΑΪ θα είχαμε την ίδια σιγή ασυρμάτου;',NEGATIVE,ANGER
'Χωρίς κοινή λογική στο μπόξ ξαφνικά κατακραυγή για κάτι που μπορεί να θεωρηθεί προβληματικό αν το καταγγείλεις στα σόσιαλ και την ολυμπιακή επιτροπή',NEGATIVE,ANGER
'είναι πολλοί καλλιτέχνες που κατήγγειλαν ανθρώπους και καταστάσεις την περίοδο του MeToo',POSITIVE,JOY
'Τι όχι;',NEUTRAL,SURPRISE
'Δύο Γυναίκες Διακεκριμένες Επιστήμονες η Νομικός κα. Πετρούλια και η Ιατρός κα. Λινού έστειλαν το σκουπίδι της φύσης Πολάκη στον φυσικό του χώρο',NEGATIVE,DISGUST
'που θα έψαχναν στο λεξικό Μπαμπινιώτη να βρουν τι σημαίνει η φράση',NEGATIVE,ANGER
'Σιγά σιγά καταλαβαίνεις ότι οι ίδιοι δημοσιογράφοι που έκαναν το metoo δημοφιλές ίσως να μην είχαν και τις πιο αγνές προθέσεις εν τέλει',NEGATIVE,ANGER
'όλοι εσείς του metoo των καταγγελιών για ενδοοικογενειακή βία των διαμαρτυριών για τις γυναικοκτονίες μπορείτε να να μου εξηγήσετε γιατί εξακολουθείτε να γιορτάζετε για το Πάσχα κανονικά σαν να μην τρέχει τίποτα',NEGATIVE,DISGUST
'Πες τα Μάκαρε',POSITIVE,JOY
'ΑΝ ΑΥΤΟ ΔΕΝ ΕΙΝΑΙ ΒΟΘΡΟΣ ΤΟΤΕ ΤΙ ΕΙΝΑΙ?',NEGATIVE,DISGUST
'Εγώ εύχομαι κακό ψόφο',NEGATIVE,ANGER
'Βραβείο Ηλιθιότητας στο Γκλέτσο και Υποκρισίας στην Αριστερά και στις MeToo',NEGATIVE,ANGER
'Που είστε ρε metoo  πληρωμένα τίποτα για το περιστατικό στην ερμού?',NEGATIVE,ANGER
'Τη ρώτησες πρώτα θρασύτατο αρσενικό;',NEGATIVE,ANGER
'Συλλυπητήρια στον Πετρούνια για την τρίτη θέση',NEGATIVE,SADNESS
'Μετά αναρωτιεστε γιατί τα θύματα δεν μιλάνε;',NEGATIVE,ANGER
'Νίκησε γιατί ήταν άνδρας όχι ομορφότερος από τις αδερφές μας που συμμετείχαν στον διαγωνισμό',NEGATIVE,ANGER
Αίσχος,NEGATIVE,DISGUST
'Όχι ο κόσμος που ζούμε είναι πατριαρχικός και η θέση του άνδρα πιο ισχυρή',NEGATIVE,ANGER
'Ξαφνικά έχει πέσει στα τάρταρα η φήμη του',NEGATIVE,SURPRISE
'Ήπια σε βρίσκω',NEUTRAL,SURPRISE
'Μπήκα στο MeToo και δεν διάβασα ούτε μισή λέξη για την Νικολέττα Καλογερίδη',NEGATIVE,ANGER
'Ο κόσμος τους έκανε είδωλα',NEGATIVE,DISGUST
'Το δικαστήριο που καταδικάζει όποιον την συμφέρει πολιτικά',NEGATIVE,ANGER
'Μόνο οι αδερφές μας θα μπορούσαν να σε σώσουν',NEGATIVE,ANGER
'Τα λέμε και το ξαναλέμε',NEGATIVE,ANGER
'Κρατήστε το σπάνκιγκ στα χρωματικά όρια κάτω του μπουργκουντί wine red γιατί άμα μπλαβιάσει το πωπουδάκι κινδυνεύετε με cancel και metoo',NEGATIVE,DISGUST
'Μιλήστε ανοιχτά όπου μπορείτε και ζητήστε βοήθεια όσο πιο νωρίς γίνεται',NEGATIVE,SADNESS
'Παύλο Χαϊκάλη θέλουμε να γυρίσεις στο Θέατρο',NEGATIVE,SADNESS
'Που είναι το metoo ?',NEGATIVE,ANGER
'Ελεύθερος σύντομα ο Λύτρας που ξυλοκόπησε την γυναίκα του',NEGATIVE,ANGER
'Γιατί εδώ το MeToo δεν παρεμβαίνει ή το ΕΣΡ;',NEGATIVE,ANGER
'Αν δεν είναι άντρας ο μαστροπός σαν τον Μίχο δεν σκούζουν',NEGATIVE,ANGER
'Οι ανθελληνικές αντιχριστιανικές και ακροαριστερές φεμινιστικές οργανώσεις κάνουν χυδαία σπέκουλα πάνω σε αληθινά ή ψεύτικα θύματα για να έχουν χρήμα κοινωνική εξουσία κι ανεξέλεγκτη πολιτική επιρροή όπως στις ΗΠΑ με το metoo',NEGATIVE,DISGUST
'Να κατοχυρωθεί ο όρος ανδροκτονία',NEGATIVE,ANGER
'είναι καιρός να αντισταθούμε σε αυτή τη λαίλαπα',NEGATIVE,ANGER
'δεν πειράζει έχουν προκαλέσει λένε',NEGATIVE,ANGER
'Σε πιστεύουμε αδελφή μου',POSITIVE,JOY
'Eίναι δείγμα του πως κάποια κομματόσκυλα πήραν τις σκέψεις κάποιου δημοσιογράφου και έφτασαν να κατασπαραζουν μια αθλήτρια επειδή τυχαίνει να έχει σχέση με τον γιο του ΠΘ μόνο και μόνο για να χτυπήσουν τον Μητσοτάκη',NEGATIVE,DISGUST
'Στην Κατάνια της Ιταλίας 7 Αιγύπτιοι βίασαν ένα 13χρονο κορίτσι',NEGATIVE,ANGER
'Η γυναίκα βρέθηκε δεμένη και γυμνή σε σπίτι στην Ομόνοια',NEGATIVE,SURPRISE
'Guess what: Το θύμα  ΔΕΝ φταίει ΠΟΤΕ ότι και αν κάνει',NEGATIVE,ANGER
'Σημειώνομε ότι το ξεγύμνωμα κρατουμένων είναι σεξουαλικό βασανιστήριο',NEGATIVE,ANGER
'Για την τηλεθέαση επικροτείτε συμπεριφορές ακραίες και λεκτικές επιθέσεις ασκώντας ψυχολογική πίεση στον James Καφετζή που έγινε ο σάκος του μποξ του κάθε πικραμένου του survivorGR που θέλει να κρύψει τα κόμπλεξ του ιδίως την κατωτερότητά του χτυπώντας τον',NEGATIVE,ANGER
'Που είναι τα metoo?',NEGATIVE,ANGER
'Εμείς καταδικάζουμε τα λεγόμενα του φασίστα',NEGATIVE,ANGER
'γιατί θέλουν να υπάρχουν παιδιά που θα στερηθούν την μάνα τους?',NEGATIVE,SADNESS
'25χρονη έβγαζε τις άλλες στο κλαρί',NEGATIVE,DISGUST
Metoo???,NEUTRAL,NO-EMOTION
'μιλάμε για κάθαρμα πατόκορφα',NEGATIVE,DISGUST
'Αλλιώς θα σας πάρουν χαμπάρι και οι τυφλοί 🤬🤬',NEGATIVE,ANGER
'Οι Ιταλίδες του metoo σιώπησαν γιατί οι θύτες είναι Αιγύπτιοι',NEGATIVE,ANGER
'Σε μια εκπομπή που αν δεν ασπαστείς το άγιο αφήγημα του φεμινιστικού δόγματος σε βγάζουν και εγκληματία',NEGATIVE,DISGUST
'Την απειλούσε ότι αν μιλήσει θα βλάψει την οικογένεια της και τη βίαζε μέσα στο αυτοκίνητό του σε χωράφι',NEGATIVE,ANGER
'Όσο για το τι κρατάει μια ζωή και τι όχι την απάντηση θα έπρεπε να τη γνωρίζουμε όλοι',NEGATIVE,ANGER
'Ήπια στον χαρακτηρισμό για τα γομάρια που χτυπάνε τις γυναίκες τους',NEGATIVE,ANGER
'άθλια πικ μι',NEGATIVE,DISGUST
'Δεν κρύβονται αυτά ',NEUTRAL,NO-EMOTION
'Εννοώ το παραδοσιακό όχι μέσα από apps και net',NEUTRAL,NO-EMOTION
'Δεν είναι μόνο ο Λαμπάτος που βρίσκεται στην ανεργία',NEGATIVE,SADNESS
'Ελπίζω να μην πέσει ποτέ θύμα βιασμού και από πάνω να πρέπει να το αποδείξει',NEGATIVE,SADNESS
'Αυτή κάθε φορά κλαίει',NEGATIVE,SADNESS
'Κάτι τέτοια μουνόπανα σας έχουν πείσει πως ενδιαφέρονται για τα δικαιώματα σας για τον αν παθαίνετε σε τρένα κτλ κτλ',NEGATIVE,ANGER
'Πόση αρρώστια να αντέξουμε πια;',NEGATIVE,DISGUST
'Όχι μόνο εκεί που σας παίρνει',NEGATIVE,ANGER
'Δεν το κάνουν επίτηδες',NEGATIVE,ANGER
'Κανένας μονος',NEGATIVE,SADNESS
'Δεν την δέρνεις σε φτύνει',NEGATIVE,ANGER
'Έλα Ζήνα ακόμα να σκύψεις για τη συγνώμη που λέγαμε',NEGATIVE,ANGER
'επιπλέον πολλαπλές δολοφονίες στη χειρότερη σειρά που παίχθηκε στην εποχή μάλιστα του MeToo',NEGATIVE,ANGER
'Αν την σκοτώσει τι θα λέμε?',NEGATIVE,ANGER
'Βόθροι αγαπητέ ότι μπορούν για να γελοιοποιηθούν περισσότερο',NEGATIVE,ANGER
'Η αντίληψη ότι το καταπιεσμένο πρέπει να δείξει κατανόηση στο θύτη γιατί μπορεί να τυχαίνει να ήταν και αυτός καταπιεσμένος κάποια στιγμή στην ιστορία του λέει ότι το πιο αδύναμο θύμα ευθύνεται για τη δική του καταπίεση και την καταπίεση του θύτη του',NEGATIVE,ANGER
'Εγώ είμαι με το μέρος του Δημήτρη Παπανώτα βάση της αρχική του δήλωσης',NEUTRAL,NO-EMOTION
'Τώρα με τις φωτιές θα ασχοληθούνε τα κανάλια;',NEGATIVE,ANGER
'Απόλαυση 😂',POSITIVE,JOY
'Δεν είδαμε όμως να είσαι με το θύμα Φουρέιρα όταν ο μεθυσμένος Μαρινάκης Junior την παρενοχλούσε επί σκηνής',NEGATIVE,DISGUST
'Είπαμε δεν θα ενοχλείτε το MeToo αν δεν είναι λευκός Έλληνας χριστιανός φορολογούμενος',NEGATIVE,ANGER
'Για τα θύματα είναι βρε',NEGATIVE,ANGER
'Τι θέλουν να κερδίσουν πραγματικά με το να τους αφήνουν να μπαίνουν λαθραία στις χώρες;',NEGATIVE,ANGER
'Να μας πει ο κύριος Κούγιας πόσα αντρικά χαρακτηριστικά έχει η στάση ενός λειτουργού της Δικαιοσύνης που κρύβεται για να γλυτώσει το αυτόφωρο',NEGATIVE,DISGUST
οι Γιάννης Νίκος Παύλος θα έπρεπε να αποβληθούν ΧΘΕΣ',NEGATIVE,ANGER
'MeToo του φτωχού 😂😂😂😂',POSITIVE,JOY
'Το βίντεο πρέπει να αναλυθεί επαρκώς γιατί προβοκάρει το θύμα να πάει κοντά του',NEGATIVE,ANGER
'δεν έγινε κάτι από γυναίκα σε άντρα ❌⛔️☢️',NEGATIVE,ANGER
'Είπατε για τον Λύτρα;',NEGATIVE,SURPRISE
'Έλεος γαμώτο με τον Παπανώτα και την διαγραφή του',NEGATIVE,ANGER
'Τελικά το ας πρόσεχε ζει και βασιλεύει',NEGATIVE,SADNESS
Καημενούλα,NEGATIVE,SADNESS
'Το γέλιο θα πέσει με τα επιδόματα ψευτοδερμένης ψευτοβιασμένης ψευτοκακοποιημένης στραβοφλερταρισμένης στραβοκοιταγμένηςαγουροξυπνημένης',NEGATIVE,ANGER
Ανδρείκελα,NEGATIVE,DISGUST
'Μια παρένθετη κύηση κοστίζει 100 χιλιάρικα και αν νομίζεις πως η γύφτισσα που αναγκάστηκε να γεννήσει είχε επιλογή να σου θυμίσω πως στην Αγία Βαρβάρα δεν περάσανε',NEGATIVE,ANGER
'Η ενδοοικογενειακή βία δεν ξεπλένεται',NEGATIVE,DISGUST
για μία ακόμη φορά μια γυναίκα θύμα της πατριαρχικής εξουσίας',NEGATIVE,SADNESS
'Ναι βρε μαλακές να κάθονταν κιόλας να την βίασει για είναι σωστή η ποινή',NEGATIVE,ANGER
'Μωρέ μαλάκες γιατί δεν πίνετε τα χάπια σας;',NEGATIVE,ANGER
'Τι υποκρισία',NEGATIVE,DISGUST
'Αυτές οι metoo είναι καλά στην υγεία τους;',NEGATIVE,FEAR
'MeToo και σκατά στα μούτρα σας',NEGATIVE,ANGER
'Δεν νοιάζονται αληθινά για τις αδύναμες ή ευάλωτες γυναίκες',NEGATIVE,ANGER
'Ρε ουστ',NEGATIVE,ANGER
'από το κακό στο χειρότερο πάμε 🥺',NEGATIVE,SADNESS
'Τι έγινε ρε καλόπαιδα εκεί στο metoo τόσο ξύλο έπεσε;',NEGATIVE,ANGER
'Τι ώρα είναι η πορεία σήμερα για τον ομοφοβικό ρατσιστή και λοατκοφοβικό Αλβανό οδηγό ταξί;',NEGATIVE,ANGER
'ΤΟ ΚΑΝΣΕΛ ΚΑΛΤΣΙΟΥΡ που είδαμε σε Παπανώτα πρέπει να τελειώνει',NEGATIVE,ANGER
'Που αβαντάρετε τον μαντραχαλά που δέρνει κοριτσάκια',NEGATIVE,ANGER
'Τέρμα το metoo',NEGATIVE,ANGER
'Αντί να τον έχουν βάλει κάτω να πεί που πήγαιναν οι ανήλικοι μετανάστες μετά τα σεμινάρια στο σπίτι του',NEGATIVE,ANGER
'ποιος το περίμενε?',NEGATIVE,SURPRISE
'Τέτοιες συμπεριφορές τοξικές δεν είναι βία;',NEGATIVE,ANGER
'Δεν καταλαβαίνω τι λέει η κυρία Ρώπα για το metoo και κάτι μου λέει ότι «κάηκαν» και ο Φώτης με τη Τζένη',NEGATIVE,ANGER
'32χρονος Πακιστανός βίαζε επί δύο χρόνια το 9χρονο κοριτσάκι της συντρόφου του',NEGATIVE,DISGUST
'Το κίνημα metoo που είναι που μας είχανε πρήξει τα αρχίδια',NEGATIVE,ANGER
'Σήμερα φάνηκε η χυδαία υποκρισία των MeToo',NEGATIVE,DISGUST
'Το παν είναι να μην απολυθεί',NEUTRAL,NO-EMOTION
'το ρεμάλι αυτό ήταν εν δυνάμει βιαστής και γυναικοκτόνος',NEGATIVE,ANGER
'Η προπαγάνδα θέλει σωστή διαχείριση σωρόπαιδα 🤑',NEGATIVE,DISGUST
'Συνεχίστε έτσι μας προκαλείτε γέλιο',POSITIVE,JOY
'Είστε εμετικές',NEGATIVE,DISGUST
'Καμία μόνη',NEGATIVE,SADNESS
'Ήπιος είμαι',NEUTRAL,SURPRISE
'Τις μάνες των παιδιών μας τις νοικοκυρές του σπιτιού μας και τις ερωμένες του κρεβατιού μας',NEGATIVE,DISGUST
'metoo ουπς λάθος',NEGATIVE,SADNESS
'Ελεγχόμενος για βιασμό και έμφυλη βία κοκορεύεται ότι είναι σε κόμμα που προωθεί την έμφυλη ισότητα',NEGATIVE,ANGER
'Το MeToo να πει τίποτα για τις χιλιάδες δολοφονημένες (και πολλές βιασμένες) άμαχες Παλαιστίνιες της Γάζας',NEGATIVE,ANGER
'ΚΑΜΙΑ ΠΟΤΕ ΞΑΝΑ',NEGATIVE,ANGER
'Τι σας φταίνε οι γυναίκες τού κόσμου;',NEGATIVE,ANGER
'(λεκτική ψυχολογική) γιατί υποτιμάει κάνει την άλλη την κοπέλα που είναι μικρό κορίτσι να αισθάνεται χάλια',NEGATIVE,SADNESS
'Και αν η γιαγιά μου είχε καρούλια θα ήταν αυτοκίνητο',NEGATIVE,ANGER
'Ένα καθεστώς όμως χρειάζεται δικαιοσύνη ΜΜΕ και σώματα ασφαλείας',NEGATIVE,ANGER
'Δεν είμαστε τόσοι όσοι φωνάζουμε εδώ μέσα',NEGATIVE,DISGUST
'Για τέτοια σκουπίδια μιλάμε',NEGATIVE,DISGUST
'Μια παρατήρηση προς τις ευαίσθητες και τις metoo',NEGATIVE,ANGER
'Να αφεθεί ελεύθερος να πλακώσει στις φάπες την επόμενη',NEGATIVE,ANGER
'Ούτε για τις παρένθετες που θα χρησιμοποιούνται για να κάνουν παιδιά οι όμοφυλόφιλοι',NEGATIVE,ANGER
'ένα αποβρασμα λιγότερο',NEGATIVE,DISGUST
'Από την αρχή καταλάβαμε ότι πρόκειται περί φούστη',NEGATIVE,DISGUST
'Από τις ίδιες που στηρίζουν Παλαιστίνη αλλά όχι τις Αφγανές;',NEGATIVE,ANGER
'Δεν έχει κοινωνική ούτε οικονομική και μορφωτική τάξη εθνικότητα και φύλο αν και στατιστικά πλήττονται περισσότερο γυναίκες και παιδιά',NEUTRAL,NO-EMOTION
'5 χρόνια ο καημένος ο Καθηγητής προσπαθούσε να αποδείξει ότι δεν είναι ελέφαντας',NEGATIVE,SADNESS
'Και δεν πρόκειται να ξανά βρει δουλειά στον αιώνα τον άπαντα',NEGATIVE,SADNESS
'Εκεί στόχευσε το Metoo',NEUTRAL,NO-EMOTION
'Συνελήφθη έπειτα από καταγγελία για βιασμό ξυλοδαρμό και επίθεση με μαχαίρι',NEGATIVE,DISGUST
'Αντικρουόμενα συμφέροντα το δίχως άλλο',NEGATIVE,ANGER
'Άλλη μια νίκη της πατριαρχιας',NEGATIVE,SADNESS
'Απαράδεκτα αυτά που γίνονται και ακούγονται',NEGATIVE,ANGER
'Δηλαδή πως να καταλάβει κάποιος τι θέλετε επιτέλους;',NEGATIVE,ANGER
'ο κολλητός του παιδοβιαστή έχει το θράσος να τα βάλει με την Μπλάνσετ και το metoo',NEGATIVE,ANGER
'Λέτε να ξέρει πράματα και θέματα και ασχολείται η κοινή γνώμη;',NEGATIVE,ANGER
'Οι άλλες άμα είναι θύματα',NEGATIVE,DISGUST
'Ας πει κάποιος στην Χριστίδου Συνατσάκη και όλα αυτά τα κλαπατσίμπαλα πως το ελληνικό MeToo μόνο κακό έχει κάνει',NEGATIVE,ANGER
Όχι,NEUTRAL,NO-EMOTION
'τώρα κατεβαίνει στις ευρωεκλογές με το κόμμα Πατριώτες του καραδεξιού Εμφιετζόγλου',NEGATIVE,DISGUST
'metoo από άντρα σε γυναίκα',NEUTRAL,NO-EMOTION
'μην απασχολείτε τις αγαπητές MeToo διότι έχουν μπεί σε χειμερινή νάρκη μετά το περιστατικό με την 22χρονη και τον Ιρανό στην Ερμού',NEGATIVE,ANGER
'Ναι έχετε δίκιο δεν είμαστε ίδιοι',NEGATIVE,SADNESS
'Εσύ που είσαι σίγουρα με τον άνθρωπο και φωνάζεις MeToo μπορείς να τον υποστηρίξεις όσο θέλεις',NEGATIVE,ANGER
'αλλά όσο η συζήτηση θα σοβαρεύει θα βγάζουν τη μάσκα μόνοι τους γιατί θα ασφυκτιούν μέσα σε αυτή',NEGATIVE,ANGER
'Αν ήταν νόμιμη η οπλοφορία για άμυνα στο ελλαδιστάν δεν θα μετρούσαμε τόσες νεκρές αδερφές μας',NEGATIVE,ANGER
'Το μόνο που χρειάζεται είναι να υπάρξει ένα αντίστοιχο κίνημα όπως το metoo για αλληλεγγύη αντρών',NEGATIVE,ANGER
'Και δεν έχουν κάνει τίποτα',NEGATIVE,ANGER
'ιδίως από ένα σύνολο με πολύ κόσμο που αντί για ταξική συνείδηση έχει ουράνια τόξα και συννεφάκια',NEGATIVE,ANGER
'Εάν ένας άντρας είναι κακοποιητικός δε μας νοιάζει αν είναι μαύρος δικηγόρος αριστερός δεξιός αλλόθρησκος φτωχός πλούσιος',NEGATIVE,ANGER
'ρε metoo αν δεν το έχετε πάρει χαμπάρι βιάζουν και εξευτελίζουν παλαιστίνιες',NEGATIVE,ANGER
'Η ενδοοικογενειακή βία δε δικαιολογείται και δε συγχωρείται',NEGATIVE,ANGER
'Να του ξεραίνεται το χέρι',NEGATIVE,ANGER
'Eπειδή ΔΕΝ ΥΠΑΡΧΟΥΝ διεθνώς διάσημες γύφτισσες ινφλού',NEGATIVE,ANGER
'Φταίει ο νόμος?',NEGATIVE,SURPRISE
'Με έναν όρο γυναικοκτονία και ένα Metoo κατάφεραν να μετατρέψουν το χώρο της πολιτικής σε μια lifestyle εκπομπή που ασχολούμαστε με περιόδους και σερβιέτες',NEGATIVE,DISGUST
'Αν είστε άρρωστοι να πάτε στο γιατρό',NEGATIVE,DISGUST
'Κάτω τα ξερά σας από τις γυναίκες',NEGATIVE,ANGER
'Κοινωνική παρακμή',NEGATIVE,ANGER
'Καμία Μόνη',NEGATIVE,SADNESS
'δίνοντας τη δύναμη και σε άλλα θύματα να καταγγείλουν τα όσα έζησαν',POSITIVE,JOY
'metoo τι έγινε;',NEUTRAL,SURPRISE
'Χρόνια τώρα ζητάμε από το δικηγορικό σύλλογο αθηνών να καταδικάσει αυτές τις συμπεριφορές από την εποχή του metoo',NEGATIVE,ANGER
'Αυτοί με μάνες δεν μεγάλωσαν;',NEGATIVE,SURPRISE
'το ότι αγκαλιάζετε κάθε παιδί είναι το επίφοβο με Μίχους Γεωργιάδη Νίκο Λιγνάδη κάτι προπονητές και γυμναστές του metoo στο κόμμα σας',NEGATIVE,ANGER
'Είναι βάναυσος και θα έπρεπε ήδη να έχει γίνει καταγγελία στο metoo',NEGATIVE,DISGUST
'Με όλα αυτά που έχουν βγεί στο φώς για το metoo και συμπεριφορές που δεν γίνονται πλέον αποδεκτές',NEGATIVE,ANGER
'Μπα... πετάνε χαρταετό οι MeToo όταν πρόκειται για λάθροεπενδυτες',NEGATIVE,ANGER
'Να τον χαίρεστε',POSITIVE,JOY
'Έλεγξες τα χρωμοσώματά τους;',NEGATIVE,DISGUST
'Η βία δεν είναι μόνο σωματική και σεξουαλική αλλά και Λεκτική και Ψυχολογική',NEGATIVE,SADNESS
Πάρτε τα φεμιφρικιά που μας φορτώσατε και φύγετε από δω',NEGATIVE,ANGER
'Αηδία κατάντησε πια',NEGATIVE,DISGUST
'Μόνο όταν πήραν θέση αυτοί και είπαν αποσύρουμε τη διαφήμιση τότε μαζεύτηκαν οι εκπομπές(πχ Η Σκατιάνα που ξέπλενε τον Λιγνάδη)',NEGATIVE,ANGER
'Και εσυ ξέρεις να μιλάς για θέματα metoo αλλά για τον Γεωργούλη έβγαλες τον σκασμούλη και είπες είναι «λεπτή η θέση μου»😊',NEGATIVE,DISGUST
'Βέβαια όσοι σπιντάρετε κατά του metoo μάλλον σας αρέσει να μην καταγγέλλονται',NEGATIVE,ANGER
ΗΛΙΘΙΑ,NEGATIVE,ANGER
'Όχι δεν είναι η άλλη άποψη αυτό το τουίτ που πρέπει δημοκρατικά να σεβόμαστε',NEGATIVE,ANGER
'Που να άλλαζε κιόλας τι θα λέγατε',NEGATIVE,ANGER
'Γυναικείες οργανώσεις κινήματα metoo μούγκα στη στρούγκα',NEGATIVE,DISGUST
'Είδες τα γεννητικά τους όργανα;',NEGATIVE,DISGUST
'H περίπτωση της Γεωργίας Μπίκα που κατεβαίνει υποψήφια με τους Πατριώτες μου θύμισε την Ρόουζ Μακγκόουαν την αμερικανίδα ηθοποιό που ξεκίνησε το MeToo και στην συνέχεια αποδείχθηκε φούλ τραμπικιά',NEGATIVE,DISGUST
'Φταίμε εμείς?',NEGATIVE,SURPRISE
Πφφφφφφ,NEGATIVE,DISGUST
'Όταν ο Παπανώτας σχολίασε ότι η Δούνια θα μάθει μόδα το ευρωκοινοβούλιο έπεσαν να τον φάνε',NEGATIVE,ANGER
'H παράμετρος που ουδείς έχει επισημάνει έως τώρα και πρέπει να τεθεί στον Δημόσιο Διάλογο είναι ότι οι γυναίκες που χειρίστως (μη) πράττουσες δεν καταγγέλλουν τον κακοποιητή τους',NEGATIVE,ANGER
'Το καθένα μας όπως μπορεί και αν μπορεί',POSITIVE,JOY
'θα μιλούσατε για τοξικότητα ρατσισμόη Ακρίτα θα ήταν στα κάγκελα',NEGATIVE,ANGER
'Έχασε τις αισθήσεις της από φόβο η κακομοίρα',NEGATIVE,SADNESS
'Έχει μιλήσει με Γκλέτσο και Βουλτέψη',NEUTRAL,NO-EMOTION
'Τρικάκι για τον ντόρο',NEGATIVE,DISGUST
'Τι δηλώσεις είναι αυτές;',NEGATIVE,ANGER
