«Κάποια Μίλησε»: Η Μαρία Σρέιντερ σκηνοθετεί τις Κάρεϊ Μάλιγκαν και Ζόι Καζάν σε μία ταινία αφιερωμένη στις δύο σπουδαίες γυναίκες ρεπόρτερ των New York Times που με ένα ιστορικό πλέον ρεπορτάζ γέννησαν το κίνημα του Metoo αλλάζοντας για πάντα την κοινωνία,POSITIVE,JOY
Το twitter που πριν δυο χρόνια πήρε φωτιά με το metoo σήμερα χλευάζει την εμφάνιση μιας γυναίκας σε μια κηδεία,NEGATIVE,SADNESS
Με τον καιρό έπεσαν οι μάσκες,NEGATIVE,ANGER
Είναι λίγοι οι άνθρωποι που προσπάθησαν να αλλάξουν τον εαυτό τους με το όνειρο να δούν κάποτε την αλλαγή που επιθυμούν και εκεί έξω,NEGATIVE,SADNESS
MeToo θα κάνετε καμιά πορεία διαμαρτυριας η μπα; ⁉️⁉️⁉️⁉️,NEGATIVE,ANGER
MeToo που είσαι;,NEGATIVE,ANGER
σε ζητάνε ,NEUTRAL,NO-EMOTION
Εκεί είναι επιλογή όπως και η μπούρκα,NEGATIVE,DISGUST
Ποια επιλογή;🤬🤬🤬🤬🤬🤬🤬,NEGATIVE,ANGER
ΟΛΗ Η ΑΛΗΘΕΙΑ ΓΙΑ ΤΙΣ ΓΥΝΑΙΚΟΚΤΟΝΙΕΣ ΣΤΗΝ ΕΛΛΑΔΑ,NEUTRAL,NO-EMOTION
ΕΙΜΑΣΤΕ Η ΧΩΡΑ ΜΕ ΤΙΣ ΛΙΓΟΤΕΡΕΣ ΓΥΝΑΙΚΟΚΤΟΝΙΕΣ ΣΤΗΝ ΠΛΑΝΗΤΗ,POSITIVE,JOY
ΓΙΑ ΝΑ ΜΗ ΣΑΣ ΠΙΑΝΟΥΝ ΚΟΡΟΙΔΟ ΟΙ ΠΑΡΑΜΥΘΑΤΖΗΔΕΣ ΔΙΚΑΙΩΜΑΤΙΣΤΕΣ Κ ΟΙ ΛΕΣΒΙΕΣ ΜΙΣΑΝΔΡΙΚΕΣ ΤΟΥ MeToo ΠΟΥ ΣΚΟΠΟ ΕΧΟΥΝ ΜΟΝΟ ΝΑ ΣΥΚΟΦΑΝΤΟΥΝ ΤΗΝ ΕΛΛΑΔΑ,NEGATIVE,ANGER
μπορείτε να δείτε στο hollywood,NEUTRAL,NO-EMOTION
ξεκίνησε το metoo το έγκλημα και σεξουαλικά ζητήματα δεν έχουν φύλο,NEGATIVE,ANGER
Στα Ελληνικά ΜΜΕ πρωινές και μεσημεριανές εκπομπές κυρίως γυναίκες αρχισυντάκτριες/παρουσιάστριες δείχνουν μια τεράστια ακάταλυπτη μισανδρία και bias,NEGATIVE,ANGER
Η κυβέρνηση προσπαθεί να τροποποιήσει το νόμο 3500/2006 για την ενδοοικογενειακή βία με διατάξεις αντίθετες στις συστάσεις της GREVIO (δείτε παλαιότερο τουήτ),NEGATIVE,ANGER
"βαρετές, μακροσκελείς, ευλαβικές βιογραφίες («Oppenheimer» και «Maestro»)· και την ωμή προπαγάνδα της ταινίας «Barbie»",NEGATIVE,DISGUST
Έχει αρχίδια η Παπαρίζου?,NEGATIVE,ANGER
Τι σεξιστικό ήταν αυτό?,NEGATIVE,ANGER
Δηλαδή μόνο αν έχεις αρχίδια είσαι μάγκας?,NEGATIVE,ANGER
Καμιά σφαλιάρα μήπως;,NEGATIVE,ANGER
Αυτούς υποστηρίζουν όμως οι μπουτούδες ,NEGATIVE,DISGUST
Με το παιδί,NEUTRAL,NO-EMOTION
Νόμιμη άμυνα λέγεται,NEGATIVE,ANGER
Ελπίζω το δικαστήριο να εφαρμόσει σωστά το νόμο αυτή τη φορά,NEGATIVE,ANGER
Αφού δεν φρόντισε ολόκληρο δικαιϊκο σύστημα ώστε το ανήλικο να μην μείνει στα χέρια του κακοποιητή του στο σπίτι,NEGATIVE,DISGUST
Χρησιμοποίησε δηλαδή ΠΛΗΡΩΣ όλο το αφήγημα και όλα τα εργαλεία που της έδωσε το Metoo ώστε να κατηγορεί ελεύθερα όποιον θέλει,NEGATIVE,DISGUST
Ευτυχώς αποδείχτηκαν τα ψέματα της,POSITIVE,JOY
Σε πόσες άλλες περιπτώσεις όμως την σκαπουλάρουν;,NEGATIVE,ANGER
Πρέπει να σεβόμαστε τα ήθη και τα έθιμα τους να υποφέρουν,NEGATIVE,ANGER
Για την τοξική μητριαρχία θα μας μιλήσει κανείς;,NEGATIVE,ANGER
Ναι για να φτάσει στα σαράντα της μόνη και στείρα (άντε με κάνα σκυλί παρέα) και να αρχίσει να παίρνει δεξιά και αριστερά τηλέφωνα μπας και την παντρευτεί κάποιος,NEGATIVE,ANGER
"Αυτές του MeToo στα αραβικά του ""Ο βιαστής είσαι εσύ"" είναι αυτό المغتصب هو أنت",NEGATIVE,ANGER
Το MeToo μάθαμε που έχει χαθεί τον τελευταίο καιρό;,NEGATIVE,ANGER
Επιτέλους,POSITIVE,JOY
Όλη η αλήθεια για τη ροζ σημαία εδώ,NEUTRAL,NO-EMOTION
Δεν το θέλουμε ρε αλλά μας τρέχουν για να έχουν κάποιον να τα κουβαλάει,NEGATIVE,ANGER
Θα ξεκινήσω ένα MeToo για εμάς τους ταλαίπωρους,NEGATIVE,SADNESS
"Είναι Μαροκινός οπότε ΟΛΑ ΚΑΛΑ είχε και τις ευλογίες της ""μανούλας"" και την απόλυτη σιωπή του",NEGATIVE,ANGER
Και φυσικά των καναλιών μη και χαλάσει το αφήγημα με τους ειρηνικούς μετανάστες,NEGATIVE,DISGUST
Άλλωστε η πατριαρχία της ελληνικής οικογένειας φταίει για όλα,NEGATIVE,ANGER
Το metoo θα ετοίμαζε μεγάλη διαδήλωση με χάπενινγκ από τη Λάλε αλλά το ανέβαλαν λόγω των Χριστουγέννων,NEGATIVE,ANGER
Καλά Κρασιά και Καλά Χριστούγεννα (του Χρόνου κάτι θα γίνει βλέπουμε),NEGATIVE,ANGER
έτσι κάνουν στη χώρα τους,NEUTRAL,NO-EMOTION
δεν είχε δώσει δικαιώματα,NEGATIVE,ANGER
έτσι κάνουν και οι αιλίνες και φώτο Μίχου,NEGATIVE,ANGER
Εεεεε εσείς εκεί στο MeToo καλά κουφές και άλαλες για τις βιασμένες απο τα ρώσσικα Ορκ Ουκρανές,NEGATIVE,ANGER
κουφές για τις βιασμένες ΚΑΙ δολοφονημένες Ισραηλινές από τα Ορκ της ΧΑΜΑΣ ISIS,NEGATIVE,ANGER
αλλά ούτε εδώ και τώρα μια ανακοινωσούλα κάτι τέλος πάντων,NEGATIVE,ANGER
Ανυπόληπτες ντιπ,NEGATIVE,ANGER
Πανέμορφη κοπέλα,POSITIVE,JOY
Να ζήσουν τα παιδιά με τις ευλογίες των MeToo και όλων των κινημάτων υπέρ των γυναικείων και ανθρωπίνων δικαιωμάτων,NEGATIVE,DISGUST
Άκουσε κανείς τίποτα από το metoo μπα ε?🤔,NEGATIVE,ANGER
Ένα περίεργο πράγμα,NEUTRAL,NO-EMOTION
Ούτε οι metoo δεν τρεντάρουν στο Χ ούτε κανείς ευαίσθητος δημοσιογράφος,NEGATIVE,SURPRISE
Φαίνεται μόνο τα fake της Γιώργο Γιωργούλας τους ευαισθητοποιούν,NEGATIVE,DISGUST
Αυτή η καλλιτέχνης ως άλλη metoo και τοξική φεμινίστρια (και τουρκική καταγωγή) καταδικάζει την Ελλάδα ως χώρα όπου δολοφονούνται κατά κόρον γυναίκες ξεφτυλίζοντας την σημαία μας,NEGATIVE,ANGER
Κοπελίτσα μου κάποια πράγματα στην Ελλάδα δεν τα αγγίζεις,NEGATIVE,ANGER
Βρες κάτι άλλο,NEUTRAL,NO-EMOTION
Στο στόχαστρο του Metoo και ο Ζεράρ Ντεπαρντιέ,NEGATIVE,ANGER
Αυτή τη φορά μια ισπανίδα δημοσιογράφος τον κατηγορεί για βιασμό,NEGATIVE,ANGER
Ας δούμε λίγο τι ισχυρίζεται:,NEUTRAL,NO-EMOTION
"Ο ""βιασμός"" έλαβε τόπο το 1995",NEGATIVE,SADNESS
Περιγράφει αργότερα γιατί της πήρε τόσα χρόνια να το καταγγείλει,NEGATIVE,SADNESS
Με κάτι τέτοια παραφύσιν νοητικά υποκείμενα που υπάρχουν ντροπιάζοντας την κοινότητα ΛΟΑΤΚΙ ποτέ δε θα σταματήσει το μπούλινγκ,NEGATIVE,DISGUST
Μαζέψτε τους άμεσα και κάντε τους πέρα απο κάθε είδους ανθρώπινες κοινότητες,NEGATIVE,ANGER
το metoo ξεφούσκωσε από τις ίδιες τις γυναίκες,NEGATIVE,SADNESS
Τώρα οι ίδιες μπερδεύουν εθνικά σύμβολα με τη βία και στο τέλος θα μηδενίσουν και τη γυναικοκτονία,NEGATIVE,ANGER
Άρρωστα μυαλά,NEGATIVE,DISGUST
Ξεφτίλα είναι το metoo που είναι εργαλείο της κάθε βιζιτού σαν εσένα,NEGATIVE,ANGER
Η σημαία είναι ιερή,POSITIVE,JOY
Θέλω μια γυναίκα που να μην μιλάει,NEGATIVE,ANGER
Αυτό μόνο,NEGATIVE,ANGER
Κανείς δε σας πιστεύει πια ζώα,NEGATIVE,ANGER
όλοι έχουν καταλάβει ότι metoo η κάθε βιζιτού,NEGATIVE,DISGUST
Όσοι επέβαλαν αυτά τα υποπροϊόντα ως 'πρότυπα' σαν την κυρία ευθύνονται για όσα καταγγέλθηκαν και είναι ελάχιστα στο metoo,NEGATIVE,ANGER
Σίχαμα,NEGATIVE,DISGUST
Guess what βλακέντιε,NEGATIVE,ANGER
Πολλοί από αυτούς που φωνάζουν για τον Όλιβερ και κάθε Όλιβερ έχουν αγοράσει τις ψευτό μαγικές αλοιφές και τα ματζούνια σου ηλίθιε,NEGATIVE,ANGER
Πόσο θέλω να δουν αυτό το βίντεο,POSITIVE,JOY
Έχουμε σιχαθεί να σε βλέπουμε τηλεμπακάλη,NEGATIVE,DISGUST
Κράζει το metoo και έχει και κόρη ο βλάξ,NEGATIVE,ANGER
"Περιμένω δήλωση από Σακελλαροπούλου, Μητσοτάκη και Καιρίδη",NEUTRAL,NO-EMOTION
Επίσης θα ήθελα να ακούσω και τοποθέτηση του metoo κινήματος και διαφόρων άλλων αλληλέγγυων,NEUTRAL,NO-EMOTION
"Που είναι το ΕΣΡ, το MeToo;",NEGATIVE,ANGER
Κοροιδεύει μια κοπέλα για το περπάτημά της,NEGATIVE,ANGER
"Αν το MeToo έφερε ως ""αποτέλεσμα"" ορδές αποφυλακισμένων βιαστών και παιδόφιλων χωρίς να ανοίξει ρουθούνι δε θέλω να φαντάζομαι τι θα φέρει το ΑΡΑΧΩΓΑΒ",NEGATIVE,FEAR
"Τη φράση ""θα παρακαλάς να σε πιάσουν επειδή σε ξέρουμε"" δεν την είδα για κανένα θύμα του Λιγνάδη και του Μίχου",NEGATIVE,ANGER
Η Κορινθίου πρέπει επιτέλους να μιλήσει ανοιχτά,NEGATIVE,ANGER
Δεν νοείται αυτή η ψυχολογία μισό χρόνο μετά και να μην λέει τίποτα,NEGATIVE,ANGER
Τι απέγινε το MeToo και MeTooGR;,NEGATIVE,ANGER
Ξεμπροστιάσαμε 2-3 και τέλος,NEGATIVE,ANGER
Γαμημένοι φιλελέδες δεν βάζετε μυαλό,NEGATIVE,ANGER
Όπως φάγατε τα μούτρα σας με τη Μπίκα MeToo έτσι θα γίνει και με τον Όλιβερ,NEGATIVE,ANGER
"Η Γερμανού παραδέχτηκε ότι έκανε 3 χρόνια εργασιακό μπούλινγκ στον Πανόπουλο και δεν ασχολείται καμία ‘μαχήτρια’ του metoo 
",NEGATIVE,ANGER
"Ο οποίος θα μπορούσε να αποκτήσει πρόβλημα υγείας γιατί 1 παροπλισμένη, γλοιώδης, δικαιωματική μπαγκατέλα απλά μπορεί να κακοποιεί ανενόχλητη",NEGATIVE,DISGUST
Οκ,NEUTRAL,NO-EMOTION
Πως τα φέρνει η πουτάνα η ζωή και το σύμπαν σε φτύνει κατάμουτρα,NEGATIVE,ANGER
Ευγενία Λουπάκη το μεσαίο δάχτυλο ήτανε όλη η αξιοπρέπεια σου,NEGATIVE,ANGER
Τωρα το λούζεται από τους ίδιους τους Αριστερους συντρόφους και συντροφισσες,NEGATIVE,ANGER
Δεν θα δούμε Metoo για την αξιοπρέπεια της Λουπάκης επειδή είναι Αριστερόστροφη,NEGATIVE,ANGER
Η Άννα Ρεζάν βιάστηκε 2 φορές στη δουλειά όταν ήταν 18,NEGATIVE,SADNESS
Και αυτό συμβαίνει πολύ συχνότερα από όσο μπορεί κάποιος να φανταστεί αλλά πολλές φορές δεν γίνονται καταγγελίες από τον φόβο στοχοποίησης ή επειδή οι δράστες έχουν δύναμη και απειλούν,NEGATIVE,SADNESS
Στις 8 Γενάρη θα γίνει η δίκη για το βιασμό της 12χρονης από τον Κολωνό,NEUTRAL,NO-EMOTION
Η διαδικασία θα ξεκινήσει στο εφετείο Αθηνών επί της οδού Λουκάρεως αλλά θα συνεχιστεί επί της οδού Δέγλερη,NEUTRAL,NO-EMOTION
Κύριος κατηγορούμενος ο παιδοβιαστής,NEGATIVE,ANGER
Ο Ηλίας Μίχος αλλά και η μητέρα της,NEUTRAL,NO-EMOTION
Γιατί αυτό μου θυμίζει την αριστερά στην Ελλάδα;,NEGATIVE,ANGER
βρείτε τις λέξεις κλειδιά,NEUTRAL,NO-EMOTION
και κερδίστε ένα ταξίδι και πλούσιο χρηματικό έπαθλο από το MeToo,NEGATIVE,ANGER
Όπα κορίτσια άκυρο,NEGATIVE,SURPRISE
Λάθος συναγερμός,NEGATIVE,SURPRISE
Κρατήστε το δηλητήριο σας για την επόμενη φορά,NEGATIVE,ANGER
και ίσως μόνο μετά από αγώνες η φωνή σου να ακουστεί και να παραιτηθεί η ΕΙΦ όπως έκανε η απελθούσα,NEGATIVE,SADNESS
Αναμένουμε να δούμε τη θέση της νεοδιορισθείσας σε σχετικά ζητήματα σύντομα,POSITIVE,JOY
Βέβαια αρκεί να μη σε έχει παρενοχλήσει πρώτα ο αντιπρύτανης του Πανεπιστημίου ή οποιοσδήποτε άλλος καθηγητής σου αφού τώρα όπως και τότε θα πέσει όλο το Πανεπιστήμιο να σε φάει,NEGATIVE,FEAR
Περίγελος το metoo και οι δήθεν οργανώσεις υπέρ των δικαιωμάτων των γυναικών,NEGATIVE,ANGER
Σάπιοι μέχρι το μεδούλι,NEGATIVE,DISGUST
Τιποτένια ανθρωπάκια που απλά επενδύουν στο συναίσθημα με ιδεολογικό και ξεκάθαρα πλέον ρατσιστικό πρόσημο,NEGATIVE,ANGER
👇 ΧΦΤΟΥ ρεζίλες,NEGATIVE,ANGER
Μας λένε ότι το να χτυπάνε γυναίκες δεν είναι έγκλημα,NEGATIVE,ANGER
Και ότι η γυναικοκτονία είναι μια απίθανη περίπτωση οπότε δεν ασχολούνται ακόμη και όταν έχουν καταγγελίες για βία,NEGATIVE,ANGER
14 γυναίκες δολοφονημένες έτσι στην Ελλάδα το 2023,NEGATIVE,ANGER
Δεν την βλέπεις την κακομοίρα,NEGATIVE,SADNESS
με μαύρο δάκρυ κλαίει για τα λεφτά που θα πάρει,NEGATIVE,ANGER
Σκασίλα της για το μωρό,NEGATIVE,ANGER
σκασίλα του και του MeToo αφού gay ζευγάρι σημαίνει υποστήριξη και χρήμα,NEGATIVE,ANGER
"Κανονικό ζευγάρι μην είναι μόνο γιατί ""θάνατος στην πατριαρχική κοινωνία"" 😏",NEGATIVE,ANGER
Φρίκη και οργή νιώθω,NEGATIVE,ANGER
"Αυτή η δύστυχη γυναίκα, αντικείμενο κακοποίησης και στυγνής εκμετάλλευσης και αυτοί χαμογελούν ικανοποιημένοι",NEGATIVE,SADNESS
Σκατά στα μούτρα σας και σε εσάς και στο metoo🤬🤬🤬,NEGATIVE,DISGUST
Άστα αυτά,NEGATIVE,ANGER
Έβαλες την γυναίκα σου να κάνει ψαλιδιές με την Σάννα και εσύ τραβούσες βίντεο,NEGATIVE,ANGER
MeToo ρε,NEUTRAL,NO-EMOTION
Ξεθώριασε το MeToo δεν έδινε πολύ ισότητα και βρήκε η γαμωβόνταφον άλλη λουγγροπαπαριά…«άμα σε μειώνει και μιλάει προσβλητικά»,NEGATIVE,ANGER
Ήρεμα θα το γυρίσετε μην βιάζεστε,NEGATIVE,ANGER
αλλά ανάποδα θα σας γυρνάνε και δεν θα πέφτει 5ευρό,NEGATIVE,ANGER
αυτή είναι η διαφορά στα χρόνια που ακολουθούν,NEGATIVE,SADNESS
Το πιο μισάνθρωπο και σκατόψυχο κομμάτι της κοινωνίας ήταν και εξακολουθεί να είναι με την Γεωργία γνωστό και ως MeToo,NEGATIVE,DISGUST
Από ότι βλέπω τον ακολουθεί ακόμα κιόλας εδώ μέσα,NEGATIVE,SURPRISE
Το ίδιο και στο Instagram,NEGATIVE,SURPRISE
Ε ρε κάτι τυπάκια που σας πουλάνε σανό με τα στρέμματα,NEGATIVE,ANGER
Οι metoo θα βγουν να ζητήσουν συγνώμη για την παραπληροφόρηση και συκοφάντηση χωρίς στοιχεία,NEGATIVE,ANGER
Ευκαιρία να τους δώσει βήμα στην εκπομπή της η Ναταλία Γερμανόυ,NEGATIVE,ANGER
"Να θυμίσουμε ότι για τον κολλητό της τον 
Αλέξη Γεωργούλη είχε πεί ότι θέλει αποδείξεις πρώτα",NEGATIVE,ANGER
14η γυναικοκτονία για το 2023 σύμφωνα με τα δημοσιευμένα στοιχεία,NEGATIVE,ANGER
Σε αυτές συμπεριλαμβανεται η Όλγα που υπέκυψε στα τραύματά της μετά από πολύμηνη νοσηλεία,NEGATIVE,ANGER
Μωρέ μαλάκες τι κάνετε;,NEGATIVE,ANGER
Τραβάτε σε κανένα γιατρό που αβέρτα δέρνετε και σκοτώνετε γυναίκες άρρωστοι,NEGATIVE,DISGUST
Τι σας φταίνε;,NEGATIVE,SADNESS
Αεί σιχτίρ πια με τον κάθε προβληματικό,NEGATIVE,ANGER
ΦΤΑΝΕΙ,NEGATIVE,ANGER
"Συγχαρητήρια στις συλλογικότητες της πλάκας που κατάφεραν να ευτελίσουν και το MeToo για προσωπικό ή και κομματικό όφελος με στημένες υποθέσεις ή κατά επιλογή προβολή υποθέσεων αναλόγως οικονομικής επιφάνειας,καταγωγής κλπ",NEGATIVE,ANGER
"""Πρόκειται για ένα ακόμα περιστατικό τραμπούκικης συμπεριφοράς""",NEGATIVE,ANGER
"Εντάξει παιδιά, να περιμένουμε να γίνει Σαλαμίνα, Ρόδος κτλ για να ασχοληθεί και κανένας άλλος εκτός από τον 902",NEGATIVE,ANGER
Προς το παρόν όλα καλά,POSITIVE,JOY
Τώρα ο καημός μας είναι η νέα αριστερά,NEGATIVE,ANGER
"Τη φράση ""να ξεβρομίσει ο τόπος"" θα τη βρείτε σε tweet που έχω κάνει για να καταγγείλω την παιδεραστία και την εμπλοκή πολιτικών σε θέματα παιδεραστίας και σε tweet που καταγγέλουν ζητήματα MeToo και συγκάλυψης",NEGATIVE,ANGER
Ποιος να νοιαστεί το metoo?,NEGATIVE,ANGER
Δεν έχει βιασμό από λευκό άντρα για να ξεσηκωθούν οι καρακάξες,NEGATIVE,ANGER
Η ΠΡΩΤΟΦΑΝΗΣ ΑΠΑΡΑΔΕΚΤΗ ΣΤΑΣΗ ΤΗΣ ΚΑΘΗΓΗΤΡΙΑΣ ΑΦΟΡΑ ΜΙΣΑΝΔΡΙΚΗ ΚΑΙ ΣΕΞΙΣΤΙΚΗ ΣΥΜΠΕΡΙΦΟΡΑ ΣΕ ΟΡΙΑ ΠΟΥ ΠΡΕΠΕΙ ΝΑ ΕΞΕΤΑΣΤΟΥΝ ΑΠΟ ΦΟΡΕΙΣ ΚΑΙ ΔΙΚΑΣΤΙΚΕΣ ΑΡΧΕΣ,NEGATIVE,ANGER
Τώρα τώρα θα πάρω τηλέφωνο τις MeToo να σε τιμωρήσουν,NEGATIVE,ANGER
Άκου δούλα και κυρά,NEGATIVE,ANGER
Γιατί κάθε λαθρομετανάστη που δεν μπορεί να νιώσει την αποδοχή παίζοντας με τις πλαστελίνες του Ηρακλή δικαιολογείται για να διώξει το άγχος του να βιάσει ομαδικά μία έφηβη;,NEGATIVE,ANGER
Ενσωμάτωση ρε φασίστες,NEGATIVE,ANGER
τι δεν καταλαβαίνεται;,NEGATIVE,ANGER
Έχουμε τίποτα MeToo αλληλέγγυες ΛΟΑΤΚΙ που υποστηρίζουν ότι οι αλαχμπαρίδες αγαπούν τους γκέι;,NEGATIVE,ANGER
Θα πάθει ότι και η Γεωργία Μπίκα ΤΙΠΟΤΑ,NEGATIVE,ANGER
"Άλλωστε μετά την καταγγελία Γεωργούλη, το metoo εξασθένησε για ένα περίεργο λόγο",NEGATIVE,ANGER
Τηλεπερσόνες όπως Μπάρκα/Σκορδά που μας ζάλιζαν κάθε μέρα με το «Αδερφή μου εγώ σε πιστεύω» άρχισαν να σέβονται το τεκμήριο αθωότητας,NEGATIVE,ANGER
"Μισογυνισμός, ένας ορισμός",NEGATIVE,SADNESS
Οι άντρακλες της εποχής μας δε καταλαβαίνουν ότι όταν μια γυναίκα είναι μεθυσμένη τη σεβόμαστε και δε παίρνουμε σειρά να τη πηδήξουμε,NEGATIVE,ANGER
"Αυτοί με πατερίτσες άλλοτε το βυζί της μαμάς, άλλοτε τους μπάτσους, δικηγόρους, πολιτικά μέσα και Τατιάνες",NEGATIVE,ANGER
Εγώ σε πιστεύω αδερφή μου,POSITIVE,JOY
Και σένα και σένα και την άλλη τη βίζιτα που ήθελε να πιεί όλο το ψυγείο με τη κόκα,NEGATIVE,ANGER
Για κάθε γελοία MeToo που ψεύδεται,NEGATIVE,DISGUST
μια αληθινά κακοποιημένη γυναίκα κακοποιείται ξανά όταν κανένας δεν την παίρνει σοβαρά εξαιτίας τους,NEGATIVE,ANGER
Και αυτός είναι μόνο ένας από τους λόγους που άτομα σαν την εικονιζόμενη θα έπρεπε να τιμωρούνται παραδειγματικά,NEGATIVE,ANGER
Αυτό είναι body shaming,NEGATIVE,ANGER
Που είναι το MeToo;,NEGATIVE,ANGER
Κάποτε κάποιοι δήθεν νοιάζονταν για το metoo και για τα ανθρώπινα δικαιώματα,NEGATIVE,ANGER
Τελικά με τον καιρό αποκαλύπτονται οι άνθρωποι,NEGATIVE,SADNESS
"Σαν χθες ο Μανώλης Κούκουρας και ο Αλέξανδρος Λουτσαϊ βίασαν,βασάνισαν,δολοφόνησαν και πέταξαν ζωντανή την Ελένη στην θάλασσα",NEGATIVE,SADNESS
Δεν θα ξεχάσουμε ποτέ,NEGATIVE,SADNESS
Χρέος ΟΛΩΝ να κάνουμε τα πάντα να μην υπάρξει άλλη Ελένη και να παρέχουμε τα κατάλληλα νομικά μέσα για αυτά τα εγκληματα,NEGATIVE,ANGER
Την ιδια ακριβως μεθοδολόγια ακολούθησαν για να φέρουν το Metoo στην Ελλάδα,NEGATIVE,ANGER
Δεν κατηγόρησαν έναν στρέιτ άνδρα,NEGATIVE,ANGER
αλλά έναν ομοφυλόφιλο (Λιγνάδης),NEGATIVE,ANGER
Διότι ήξεραν πως όχι μόνο δεν θα αντιδράσει ο κόσμος,NEGATIVE,ANGER
αλλά λόγω μίσους προς τους ΛΟΑΤΚΙ θα στήριζαν κιόλας όπως και εκαναν,NEGATIVE,ANGER
MeToo σε φωνάζουν,NEUTRAL,NO-EMOTION
"Α, μισό οι δράστες είναι μουσουλμάνοι",NEUTRAL,NO-EMOTION
"Δεν πιάνει το πατριαρχία κλπ εδώ, it's a cultural thing το gangbang οπότε μουγκα πάλι",NEGATIVE,ANGER
Και αυτή μόνη της πήγε αλλά αφού δεν έχει λεφτά το παραμύθι και η ΝΔ δε θέλει να τους κακολογούμε αυτούς,NEGATIVE,ANGER
 καλύτερα να περάσει έτσι Ε?,NEGATIVE,ANGER
Δεν είναι όλες οι γυναίκες θύματα εμφυλης βίας,POSITIVE,JOY
Μερικές μέσα σε τέτοιες άρρωστες σχέσεις  ικανοποιούν τα ψυχιατρικά τους προβληματα τα κόμπλεξ και βίτσια τους,NEGATIVE,SADNESS
Κατά της βίας των γυναικών αλλά οι MeToo πετάνε χαρταετό εδώ και ενάμιση σχεδόν μήνα ,NEGATIVE,ANGER
Το μόνο που θέλω να πω εγώ είναι ότι πρέπει να είμαστε πάντα κατά των θυτών ανεξάρτητα από το αν ψηφίζουν τα ίδια με εμάς αν έχουν την ίδια καταγωγή ή θρησκεία με εμάς,NEGATIVE,ANGER
Το λέω αυτό γιατί ας μην κρυβόμαστε υπάρχει πάντα κάποια επιλεκτική ευαισθησία και από δεξιούς και από αριστερούς ανάλογα με το ποιος είναι ο θύτης και το θύμα,NEGATIVE,ANGER
Τα γνωστά κομματόσκυλα,NEGATIVE,ANGER
